App Name,Publisher Name,Publisher Domain,Categorie,Rating Score,Rating Number,Developer Email
Audible audiobooks & originals,"Audible, Inc.",http://www.audible.com,"Books,Entertainment",5,2741002,
Amazon Kindle,AMZN Mobile LLC,http://www.amazon.com/kindleapp,Books,4.5,2100185,
Wattpad - Read & Write Stories,Wattpad Corp,http://www.wattpad.com,"Books,Entertainment",4.5,561334,
KJV Bible -Audio Bible Offline,"iDailybread Co., Limited",,"Books,Reference",5,102517,cs@idailybread.org
Dreame - Read Best Romance,STARY PTE. LTD.,,Books,4.5,48606,
"Libby, by OverDrive","OverDrive, Inc.",https://www.overdrive.com/apps/libby/,"Books,Entertainment",5,777876,
Yarn - Chat & Text Stories,"Science Mobile, LLC",https://mammoth.la/apps/moreinfo/,"Books,Entertainment",3.5,42380,
Webnovel - Fictions & Comics,Cloudary Holdings Limited,https://www.webnovel.com,"Books,Entertainment",4,11226,
OverDrive: eBooks & audiobooks,"OverDrive, Inc.",http://app.overdrive.com/,"Books,Entertainment",4.5,101031,
Color Therapy Coloring Number,Miinu Limited,http://www.colortherapy.app,"Books,Entertainment",5,115607,
Goodreads: Book Reviews,Goodreads,http://www.goodreads.com/,"Books,Social Networking",4.5,390147,
Hoopla Digital,"Midwest Tape, LLC",http://www.hoopladigital.com,"Books,Entertainment",5,304050,
Radish Fiction & Chat Stories,Radish Media,https://radishfiction.com,"Books,Entertainment",4.5,4583,
Bible for Women & Daily Study,Nataliia Shukalovich,,"Books,Lifestyle",5,14588,
Google Play Books,Google LLC,https://play.google.com,"Books,Reference",3.5,20364,
Shonen Jump Manga & Comics,"VIZ Media, LLC",http://shonenjump.viz.com,"Books,Entertainment",5,26233,sjsupport@viz.com
Audiobooks.com: Get audiobooks,RB Audiobooks USA LLC,http://www.audiobooks.com,"Books,Entertainment",4.5,63074,
Lure: Interactive Chat Stories,"RepresentLY, LLC",,"Books,Entertainment",4,2679,
NOOK,Barnes & Noble,http://www.nook.com/nookapp/,"Books,News",4.5,129962,
MangaZone!-Manga Books Reader,Kevin Wang,http://mangazoneapp.com/#page2,"Books,Entertainment",4,4101,
Golden Quran | المصحف الذهبي,OMAR SHARIF,,"Books,Music",4.5,32163,
WebComics - Daily Manga,WEBCOMICS HOLDINGS,,"Books,Magazines & Newspapers",5,50606,"comiceditor@webcomicsapp.com,Webcomics@sidewalkgroup.com"
Scribd - audiobooks & ebooks,Scribd,,"Books,Entertainment",4.5,34929,
Tappytoon Comics & Webtoons,Contents First,https://www.tappytoon.com,"Books,Entertainment",4,3924,
La Biblia Reina Valera Español,Oleg Shukalovich,,"Books,Education",5,42097,
حقيبة عين,Tatweer for Educational Services,,"Books,Education",3.5,139,
Manga Rock Pro,Ruian I like Network Co. Ltd.,,Books,4.5,159,
Tapas – Comics and Novels,Tapas Media,https://tapas.io/,"Books,Entertainment",4.5,14726,feedback@tapas.io
Bookful: Books for Kids,Inception VR,https://bookful.app,"Books,Education",3.5,314,
