App Name,Publisher Name,Publisher Domain,Categorie,Rating Score,Rating Number,Developer Email
Spiral Roll,Voodoo,https://www.voodoo.io,"Games,Racing,Action",4.5,2692,
Brain Test: Tricky Puzzles,Unico Studio LLC,https://unicostudio.co/,"Games,Family,Trivia",5,188829,unico@unicogames.co
Date The Girl 3D,Gamejam Co.,https://gamejam.co/,"Games,Family,Casual,Entertainment",4.5,8455,hello@gamejam.co
Sort It 3D,SUPERSONIC STUDIOS LTD,,"Games,Puzzle,Entertainment,Card",4.5,54268,
Slap Kings,Lion Studios,http://lionstudios.cc,"Games,Casual,Action",4.5,152036,
Perfect Cream,Playgendary Limited,https://www.playgendary.com/,"Games,Casual,Action",4.5,3914,
Chores! - Spring into Cleaning,Lion Studios,http://lionstudios.cc,"Games,Casual",4.5,22862,
Words With Friends 2 Word Game,Zynga Inc.,https://www.zynga.com/,"Games,Entertainment,Word,Board",4.5,444966,
Lucky Looter,RadPirates,http://juicy-publishing.com,"Games,Action,Casual",4.5,27092,
Sharpen Blade,ZPLAY,,Games,4.5,5496,
Trivia.io,8SEC,http://8sec.games,"Games,Casual,Trivia",4.5,23577,
Mario Kart Tour,"Nintendo Co., Ltd.",https://mariokarttour.com,"Games,Action,Racing",5,813273,
Fishdom,Playrix,https://www.playrix.com/fishdom/index.html,"Games,Puzzle,Entertainment,Simulation",4.5,419725,fishdom@playrix.com
Cut and Paint,MagicLab,http://en.maglab.com.tr/,"Games,Entertainment,Simulation,Casual",4.5,27686,
Wood Shop,Rollic Games,http://rollicgames.com,"Games,Casual,Simulation",4.5,82630,
Draw Climber,Voodoo,https://www.voodoo.io/,"Games,Action,Entertainment,Casual",4.5,81329,
Parking Jam 3D,Popcore GmbH,http://popcore.com,"Games,Puzzle,Board",4.5,5425,
Scrabble® GO - New Word Game,Scopely,https://www.scrabblemobile.com/,"Games,Board,Word",4,8270,
Call of Duty®: Mobile,"Activision Publishing, Inc.",http://www.activision.com,"Games,Action",5,816482,
