App Name,Publisher Name,Publisher Domain,Categorie,Rating Score,Rating Number,Developer Email
Flo Period Tracker & Ovulation,"FLO HEALTH, INC.",https://flo.health/,"Health & Fitness,Medical",5,579656,support@owhealth.com
Calm,Calm.com,https://www.calm.com,"Health & Fitness,Lifestyle",5,764093,
MyFitnessPal,"Under Armour, Inc.",http://www.myfitnesspal.com/,"Health & Fitness,Food & Drink",4.5,1454398,
Muscle Booster Workout Tracker,A.L. AMAZING APPS LIMITED,,"Health & Fitness,Lifestyle",4.5,11802,
"Deep Sleep: Sleep Sounds, Calm","HICLUB, INC.",https://www.facebook.com/SLEEP-Standard-sleep-assistance-app-486617398742343/,"Health & Fitness,Medical",5,1953,
Headspace: Meditation & Sleep,Headspace Inc.,https://www.headspace.com/,"Health & Fitness,Productivity",5,681930,
Motivation - Daily quotes,Monkey Taps,,"Health & Fitness,Lifestyle",5,228892,
Fitbit,"Fitbit, Inc.",https://www.fitbit.com/iphone,"Health & Fitness,Lifestyle",4,179691,
Reflectly,Reflectly,https://reflectly.app,"Health & Fitness,Lifestyle",4.5,47435,hello@reflect.ly
Planet Fitness,"Planet Fitness Holdings, LLC",http://planetfitness.com,"Health & Fitness,Lifestyle",4,8158,
Fitness Coach ·,Luni,,"Health & Fitness,Lifestyle",4.5,2120,
Sleep Booster: Sleep Tracker,SleepSci,,"Health & Fitness,Lifestyle",4.5,7537,support@sleep-booster.com
My Fitness Workout by GetFit,GetFit Apps,https://www.getfitapps.com/,"Health & Fitness,Lifestyle",4.5,14667,
Noom,"Noom, Inc.",http://www.noom.com/,Health & Fitness,4.5,206700,
Weight Loss Running by Verv,Verv Inc.,https://verv.com,"Health & Fitness,Lifestyle",4.5,74377,
Weight Loss OrganicFit,OrganicApps,http://myorganicapps.com,"Health & Fitness,Sports",4.5,3721,support@myorganicapps.com
Lose It! – Calorie Counter,FitNow,http://www.loseit.com,"Health & Fitness,Lifestyle",4.5,756865,
30 Day Fitness,Bending Spoons Apps IVS,http://bendingspoonsapps.com/products.html?app=1099771240,"Health & Fitness,Lifestyle",4,44307,30dayfitness@bendingspoons.com
Meditation App,Luni,,"Health & Fitness,Lifestyle",4.5,11084,
Workout for Women: Fitness App,Fast Builder Limited,https://www.workoutinc.net,"Health & Fitness,Lifestyle",5,295117,
Life Advisor: Personal Test,Springfushi Technology Limited,,"Health & Fitness,Lifestyle",4,13533,LifeAdvisorTeam@outlook.com
"Breethe,  Meditation & Sleep",OMG. I Can Meditate! Inc.,https://breethe.com,"Health & Fitness,Lifestyle",4.5,34369,support@breethe.com.
