App Name,Publisher Name,Publisher Domain,Real Domain,Categorie,Rating Score,Rating Number,Developer Email
Pinterest,Pinterest,http://www.pinterest.com,pinterest.com,"Lifestyle,Photo & Video",5,4983829,
Tinder,Tinder Inc.,http://www.gotinder.com/,gotinder.com,"Lifestyle,Social Networking",4,934533,
Zillow Real Estate & Rentals,Zillow.com,https://www.zillow.com/mobile/realestate/,zillow.com,"Lifestyle,Reference",4.5,5156839,
Bumble - Meet New People,Bumble Holding Limited,http://bumble.com/,bumble.com,"Lifestyle,Social Networking",4,894561,
Google Home,Google LLC,https://store.google.com/category/home_entertainment,google.com,"Lifestyle,Entertainment",4.5,266852,
Amazon Alexa,AMZN Mobile LLC,http://www.amazon.com/echo,amazon.com,Lifestyle,4.5,1364052,
Hinge: Dating & Relationships,"Hinge, Inc.",http://hinge.co,hinge.co,"Lifestyle,Social Networking",4.5,270405,hello@hinge.co
PINK Nation,Victoria's Secret PINK,https://pink.victoriassecret.com/,victoriassecret.com,"Lifestyle,Entertainment",5,1046202,
Room Planner - House Design 3D,Oleksandr Rysenko,https://icandesignapp.com,icandesignapp.com,Lifestyle,4.5,6766,
Text Free: Texting + Calling,"Pinger, Inc.",http://www.pinger.com,pinger.com,"Lifestyle,Social Networking",4,125119,
Co–Star Personalized Astrology,Co-Star Astrology Society,https://www.costarastrology.com,costarastrology.com,"Lifestyle,Social Networking",5,90182,horoscopes@costarastrology.com
FRANKLY - Party Game,C2M Technologies Inc.,https://playfrankly.com,playfrankly.com,"Lifestyle,Games",4.5,637,
Pray.com,"Pray, Inc.",,,"Lifestyle,Social Networking",4.5,19490,
Live Wallpaper 4K,Live Wallpapers,http://wallpapers4k.me/wallpapersfree/,wallpapers4k.me,"Lifestyle,Entertainment",4.5,91465,
Realtor.com Real Estate Search,"Move, Inc.",http://www.realtor.com/mobile/,realtor.com,"Lifestyle,Business",4.5,223700,realappfeedback@move.com
Paint by Number Coloring Games,"DAILYINNOVATION CO., LIMITED",,,"Lifestyle,Games,Puzzle,Board",5,162170,paint_support@dailyinnovation.biz
Hud™ - #1 Hookup App,C & Z Tech Limited,https://www.hudapp.com,hudapp.com,"Lifestyle,Social Networking",4,98528,
SmartThings,Samsung Electronics CO.LTD.,,,Lifestyle,4,17438,
Nebula: Horoscope & Astrology,Genesis Media Limited,https://www.nebulahoroscope.com/main,nebulahoroscope.com,"Lifestyle,Reference",4.5,22547,"nebula@gen.tech.,nebula@gen.tech"
Super Slime Simulator,Dramaton LTD,http://dramaton.com/slime/support.html,dramaton.com,"Lifestyle,Productivity",5,98899,
Trulia Real Estate: Find Homes,"Trulia, Inc",http://www.trulia.com/mobile/iphone/,trulia.com,"Lifestyle,Finance",4.5,857413,iPhone@trulia.com.
Omni Wallpapers Live HD Themes,WeiKang Huang,,,Lifestyle,4.5,958,
"Talk To Strangers, Video Chat",Saihao Li,,,Lifestyle,4.5,1193,
Apartments.com Rentals,Apartments LLC,http://www.apartments.com/blog/mobile,apartments.com,Lifestyle,3.5,28689,
LMK: Anonymous Polls,Rubyspark Labs,,,"Lifestyle,Social Networking",4.5,61924,
Booksy: book your appointment,SensiSoft,http://booksy.com/biz,booksy.com,Lifestyle,4.5,5995,info@booksy.com
Zillow Rentals,Zillow.com,https://www.zillow.com/mobile/rentals/,zillow.com,"Lifestyle,Productivity",5,329999,
Astrology & Palmistry Coach,Ruby Labs ltd.,https://astrology.app,astrology.app,"Lifestyle,Entertainment",4,36198,
T-Mobile Tuesdays,T-Mobile,https://www.t-mobiletuesdays.com/,t-mobiletuesdays.com,"Lifestyle,Entertainment",5,242285,
Piksu,"Pine Tree Tech, LLC",,,Lifestyle,4,2032,
Dramatics - Best Drama,Van Thang,,,Lifestyle,3,361,
Google Opinion Rewards,Google LLC,http://g.co/OpinionRewards,g.co,"Lifestyle,Utilities",4.5,88993,
Alarmy - Wake Up Alarm Clock,"Delight Room Co., Ltd.",http://alar.my,alar.my,"Lifestyle,Utilities",5,107678,
Redfin Buy & Sell Real Estate,Redfin,https://www.redfin.com/mobile/,redfin.com,"Lifestyle,Business",5,556561,
CarMax: Used Cars for Sale,CarMax,http://www.carmax.com,carmax.com,"Lifestyle,Shopping",5,228998,
The DailyHoroscope,Comitic Inc.,http://comitic.com/dailyhoroscope/,comitic.com,"Lifestyle,Reference",5,99508,
Wyze,Wyze Labs,https://www.wyzecam.com,wyzecam.com,"Lifestyle,Photo & Video",3.5,2012,
Nest,Nest Labs,https://nest.com/,nest.com,"Lifestyle,Utilities",4.5,619932,
Apartments & Houses for Rent,"Apartment List, Inc.",,,"Lifestyle,Utilities",4.5,169538,feedback@apartmentlist.com.
"Anonymous Chat Rooms, Dating","AntiChat, Inc.",https://AntiLand.com,antiland.com,"Lifestyle,Social Networking",4.5,85025,
Xprofile - profile analysis,Happymob,,,"Lifestyle,Utilities",4.5,2336,info@happymobsoftware.com
Arlo,Arlo Technologies Inc.,https://www.arlo.com,arlo.com,Lifestyle,4.5,67533,
MyQ Garage & Access Control,"The Chamberlain Group, Inc.",https://support.chamberlaingroup.com/s/,chamberlaingroup.com,"Lifestyle,Utilities",5,474520,
Survey Junkie,Survey Junkie,https://www.surveyjunkie.com/,surveyjunkie.com,"Lifestyle,Entertainment",4.5,23266,
Noonlight: Feel Protected 24/7,"SafeTrek, Inc.",https://noonlight.com,noonlight.com,"Lifestyle,Travel",4.5,15439,
AT&T THANKS®,"AT&T Services, Inc.",https://www.att.com/att/attthanks/en/index.html,att.com,"Lifestyle,Entertainment",4.5,243825,
Zap Surveys,"Apps that Pay, LLC",https://www.appsthatpay.co/contact-marketing.html,appsthatpay.co,"Lifestyle,Productivity",4.5,55739,
Live Wallpapers X,Europosit,,,"Lifestyle,Utilities",4.5,5315,
HomeAdvisor: Find a Contractor,"HomeAdvisor, Inc.",http://www.homeadvisor.com,homeadvisor.com,"Lifestyle,Business",4.5,24398,
Countdown‼,"Sevenlogics, Inc.",http://www.sevenlogics.com/,sevenlogics.com,"Lifestyle,Utilities",4,67825,
Thumbtack: Hire local pros,"Thumbtack, Inc.",http://www.thumbtack.com,thumbtack.com,"Lifestyle,Productivity",5,68977,
myChevrolet,General Motors Company,,,"Lifestyle,Utilities",5,323536,
Pure anonymous hookup chat 18+,Misterico Limited,http://pure.app,pure.app,"Lifestyle,Entertainment",4,23087,
Hippo - Live Video Chat,Lichun An,,,"Lifestyle,Social Networking",4,1254,support@hippochat.me
PCH Publishers Clearing House,Publishers Clearing House,http://www.pch.com,pch.com,"Lifestyle,Entertainment",2.5,147,
Tile - Find lost keys & phone,"Tile, Inc.",http://thetileapp.com,thetileapp.com,"Lifestyle,Productivity",4,17070,
AAA Mobile,American Automobile Association,,,"Lifestyle,Travel",3,32770,
FordPass,Ford Motor Co.,http://www.fordpass.com,fordpass.com,"Lifestyle,Travel",4.5,127375,
Great Clips Online Check-in,Great Clips,http://www.greatclips.com/,greatclips.com,"Lifestyle,Health & Fitness",5,42816,
Everbridge,"Everbridge, Inc.",http://www.everbridge.com,everbridge.com,"Lifestyle,Travel",3,281,
Uconnect,FCA US LLC,,,"Lifestyle,Productivity",4.5,34755,
Vans Family,Vans,http://www.vans.com/family,vans.com,Lifestyle,4.5,1632,
Fortunescope: Palm Reader 2019,Yumobi Tekhnolodzhi,,,"Lifestyle,Entertainment",4,5184,
Make Money - Earn Easy Cash,Free International Calls App LTD,http://makemoney.tech,makemoney.tech,"Lifestyle,Finance",5,329222,help@makemoney.tech
Naughty Video Chat - live talk,Haoming Chen,,,"Lifestyle,Social Networking",5,1835,
Smart Life - Smart Living,Yu xiang,,,Lifestyle,4.5,93424,
Precious - Baby Photo Art,Curious Kiwi Co.,https://www.preciousapp.com/,preciousapp.com,"Lifestyle,Photo & Video",4.5,68744,contact@preciousapp.com
Guess Future Baby Face!,Kishan Panchotiya,,,"Lifestyle,Utilities",4.5,14473,
theCut: #1 Barber Booking App,theCut Inc,http://www.thecut.co,thecut.co,"Lifestyle,Social Networking",4.5,2534,
Live Wallpapers Now,Zephyrmobile,,,"Lifestyle,Entertainment",4.5,194225,
Wallpapers & Backgrounds: HD,Europosit,,,"Lifestyle,Utilities",4.5,10508,
"Wild: Hook Up, Meet & Dating",Wild Limited,https://www.justbewild.com/contact-us.html,justbewild.com,"Lifestyle,Social Networking",4.5,32680,
Gospel Living,The Church of Jesus Christ of Latter-day Saints,https://www.churchofjesuschrist.org/pages/mobileapps,churchofjesuschrist.org,"Lifestyle,Productivity",4.5,773,
DOWN Dating: 18+ Match&Hookup,"Down, Inc.",http://www.downapp.com,downapp.com,"Lifestyle,Social Networking",4.5,32884,
FWB Adult Friend Finder: Xpal,BestinMatch Limited,,,Lifestyle,4.5,1834,contact@xpalapp.com
Cricut Design Space,"Cricut, Inc.",http://cricut.com,cricut.com,"Lifestyle,Education",4.5,28161,
Trulia Rentals,"Trulia, Inc",http://www.trulia.com/mobile/iphonerental/,trulia.com,"Lifestyle,Finance",5,192955,iPhone_For_Rent@trulia.com
Zumper - Apartment Finder,"Zumper, Inc.",https://www.zumper.com,zumper.com,"Lifestyle,Productivity",5,31802,hello@zumper.com
Hair Color,ModiFace,,,"Lifestyle,Entertainment",2.5,1268,
Bond - Personal Security,TG-17,https://www.ourbond.com,ourbond.com,Lifestyle,5,351,
OPixels - Cartoon Photo Editor,MISSU LIMITED,,,"Lifestyle,Entertainment",4,8162,hdwallpaper.ios@gmail.com
Eureka - Cash for feedback,"Flameingo, Inc",,,"Lifestyle,Business",4.5,32026,
Sprinkle of Jesus,Sprinkle of Jesus Corp,,,Lifestyle,3.5,2393,
Hairstyle Try On,KBMSoft ApS,http://www.kbmsoft.com,kbmsoft.com,"Lifestyle,Entertainment",2.5,70277,
Daylio Journal,Relaxio s.r.o.,http://daylio.net,daylio.net,"Lifestyle,Health & Fitness",5,27920,
HD Wallpapers for Fortnite,Rachid Bouj,,,"Lifestyle,Entertainment",4.5,85068,admin@rgvira.com
Care.com Caregiver: Find Jobs,"Care.com, Inc.",,,"Lifestyle,Utilities",4.5,19370,
