App Name,Publisher Name,Publisher Domain,Categorie,Installations,Rating Score,Rating Number,Developer Email
AGIIR,INRA,http://ephytia.inra.fr,Livres et références,10000,2.5106382,94,jean-marc.armand@inra.fr
Stop infractions,Rsp974,https://stopinfractions.rsp974.net,Livres et références,50000,4.62,543,rsp974@gmail.com
Megillas Esther - מגילת אסתר,RustyBrick,http://www.rustybrick.com/android-megillas-esther.php,Livres et références,10000,4.37,151,android@rustybrick.com
PK Explore the universe Lock Screen : game 2020,Gamesonfire,,Livres et références,1000,3.8,85,firegames.gear@gmail.com
Droply,Vivons,https://droplyapp.com,Livres et références,10,0,0,hello@droplyapp.com
Art Of Game Design: Lenses,Schell Games,http://artofgamedesign.com/,Livres et références,10000,4.77,585,jesse@artofgamedesign.com
מגילת אסתר - גלילה אוטומטית,אלי ברק,,Livres et références,10000,4.82,248,EliBarak@hotmail.com
Audible – Livres Audio & Podcasts,"Audible, Inc",https://www.audible.com,Livres et références,100000000,4.5965734,914961,customersupport@audible.com
"Tikkun Korim, Megillah",Shafeh.org,http://shafeh.org/megillah,Livres et références,5000,4.597938,97,mail@sharshi.com
Exoplanètes,Kirill Sidorov,http://path-knowledge.com/,Livres et références,10000,4.38,139,master.26@mail.ru
Display and Streaming Guide Movie Plus TV Series,Marcelthalberg,,Livres et références,100000,2.51,372,marcelthalberg@gmail.com
מגילת אסתר,Lubavitch Networks,http://www.lubavitchnetworks.org/,Livres et références,1000,4.769231,39,Apps@LubavitchNetworks.org
Chant de Sion,LAD Development Team,,Livres et références,100,4.142857,7,a.luckenson@gmail.com
Guide: Hi Neighbor Alpha,Honor DMM,,Livres et références,10000,3,10,hongnp250393@gmail.com
pacybit fut 20 guide,Xdemo,,Livres et références,500,4.4444447,27,aymandev12@gmail.com
"Reverso Traduction, Dictionnaire",Reverso Technologies Inc.,https://context.reverso.net,Livres et références,5000000,4.7791877,114808,contextapp@softissimo.com
Streaming & Guide Movie Streaming + Plus,Michallshenson,,Livres et références,50000,2.77,617,michallshenson@gmail.com
Call of lite duty mobile Guide,Scary Mobile Fear,,Livres et références,50000,3.64,300,scarymobilefear@yahoo.com
Linkbook,Coccinelle Software,http://www.linkbook.fr,Livres et références,50,0,0,direction@coccinelle-software.com
DCS Encyclopedia (BETA),marshall__14,,Livres et références,50,0,0,taw.kugel@gmail.com
Stats Royale pour Clash Royale,Overwolf,https://statsroyale.com,Livres et références,5000000,4.3569107,95483,support@overwolf.com
موطأ الإمام مالك,Al-Reda Apps,,Livres et références,500000,4.7986465,5968,apps.reda@gmail.com
