App Name,Publisher Name,Publisher Domain,Categorie,Installations,Rating Score,Rating Number,Developer Email
PlantNet Identification Plante,plantnet-project.org,https://plantnet.org/,Enseignement,10000000,4.52481,89929,contact@plantnet-project.org
Klassroom,Klassroom SAS,http://klassroom.co,Enseignement,100000,4.298094,5790,hello@klassroom.co
Kahoot!,Kahoot!,https://kahoot.com,Enseignement,10000000,4.19586,76310,hello@kahoot.com
PRONOTE,Index Education,https://www.index-education.com,Enseignement,1000000,3.5812438,20024,application-pronote@index-education.fr
ONE Pocket,Open Digital Education,https://opendigitaleducation.com,Enseignement,10000,3.739726,73,mobile.one@opendigitaleducation.com
Mon EcoleDirecte,STATIM Progiciels,https://www.statim.fr,Enseignement,500000,3.7069488,3333,android@statim.fr
SayHi Traduire,SayHi LLC,https://www.sayhitranslate.com,Enseignement,1000000,4.5692277,53994,support@sayhitranslate.com
Mon Bureau Numérique,Société Kosmos,https://www.monbureaunumerique.fr/,Enseignement,50000,2.4,409,Igor.LEDIT@grandest.fr
Jeux d'apprentissage préscolaire pour enfants,SAS Tech,,Enseignement,5000,4.923077,52,sas.apptech@gmail.com
micro:bit,Micro:bit Educational Foundation,http://microbit.org/,Enseignement,100000,2.94,702,help@microbit.org
Educartable - Familles,EDUMOOV,https://www.educartable.com,Enseignement,100000,3.75,162,support@educartable.com
TouteMonAnnée,Des images et des mots,https://www.toutemonannee.com,Enseignement,100000,3.76,523,technique@diedm.fr
Smartify,Smartify CiC,https://smartify.org,Enseignement,100000,3.937063,1445,info@smartify.org.uk
En Voiture Simone - Code et permis,EVS Team,http://www.envoituresimone.com,Enseignement,10000,4.54,457,hello@envoituresimone.com
HTML For Beginners,TechNark,,Enseignement,10000,4.48,119,technarkonline@gmail.com
Eclat BFC,Société Kosmos,https://www.eclat-bfc.fr,Enseignement,10000,1.9431819,88,contact.numedu@bourgognefranchecomte.fr
phyphox,RWTH Aachen University,http://phyphox.org,Enseignement,500000,4.5946846,3051,staacks@physik.rwth-aachen.de
ClassDojo : École et Maison,ClassDojo,http://www.classdojo.com,Enseignement,10000000,4.330731,200086,hello@classdojo.com
SDM 2020,Christophe Auclair,http://mathematiques.ac-dijon.fr/spip.php?article196,Enseignement,100,0,0,christophe.auclair@gmail.com
NEO Pocket,Open Digital Education,https://opendigitaleducation.com,Enseignement,5000,3.2307692,26,mobile.neo@opendigitaleducation.com
ENT Lycée IleDeFrance (MonLycée.net),Yanisssch,https://armadadev.fr/entappapropos.html,Enseignement,10000,2.72,317,Yanisssch@armadadev.net
"Simpler — apprendre l'anglais, c'est facile",Goodvas,http://simpler.link,Enseignement,1000000,4.7734637,292345,help@simpler.link
TED,TED Conferences LLC,http://support.ted.com,Enseignement,10000000,4.660494,198875,contact+android@ted.com
Géométrie des molécules,M. Chardine,http://ticedu.fr/,Enseignement,10000,3.83,172,marc.chardine@hotmail.fr
LinkedIn Learning,LinkedIn,https://mobile.linkedin.com/,Enseignement,1000000,4.614689,18946,team-mobile@linkedin.com
ScanFactor,ScanFactor,https://www.scanfactor.com,Enseignement,1000,0,0,taylor@scanfactor.com
حاسب المعدل CEM,Wassim Tech Apps,https://wassimtechapps.blogspot.com/2017/08/cem.html,Enseignement,500000,4.3681593,6177,wassim.the.dev@gmail.com
DICOSEMIOPSY,dicosemiopsy,http://www.asso-aesp.fr/,Enseignement,5000,4.9444447,54,dicosemiopsy@gmail.com
Info Scolaire,Ludovic GOMEZ,,Enseignement,5000,3.2083333,24,ludogomez@gmail.com
EASY peasy: anglais pour enfants,wonderkind GmbH,https://www.wonderkind.de,Enseignement,10000,4.323232,99,support@wonderkind.de
Correcteur d'orthographe,Cordial Pocket,https://www.cordial.fr,Enseignement,500000,3.2683983,2326,developpeurs@synapse-fr.com
Moon Locator 2020,GeneWarrior,http://www.moonlocator.com,Enseignement,50000,4.38,237,contact@genewarrior.com
Agenda étudiant Pro - Organisez vos tâches!,Apps CC,,Enseignement,100000,4.6787877,1740,taskagenda.app@gmail.com
المختار من صحيح الأدعية والأذكار,Alfaiz,http://alfaiz678.com,Enseignement,500,5,36,alfaiz678@gmail.com
Kartable - Cours & Révisions du CM1 à la terminale,Kartable,http://www.kartable.fr,Enseignement,100000,4.090416,5554,support@kartable.fr
Votre plateforme éducative oZe,ITOP éducation,http://www.itopeducation.fr/,Enseignement,500,1,5,contact@itop.fr
Orthographe Francais : Faute Et Correction,AyoSoft,,Enseignement,50000,4.01,144,AyoSoft.Dev@Gmail.com
MobiCNED,Cned,http://www.cned.fr,Enseignement,10000,1.22,180,cned.accueil@cned.fr
Math: Division,Epsilon Development,http://www.facebook.com/epsilon.software.development,Enseignement,1000000,4.551104,24615,epsilon.software.dev@gmail.com
