App Name,Publisher Name,Publisher Domain,Categorie,Installations,Rating Score,Rating Number,Developer Email
Phoenix Secret,Heshan Yodagama,,Divertissement,1000,4.88,199,mhdsarim@gmail.com
"FDJ® – Loto, Euromillions, Jeux et résultats",FDJ,https://www.fdj.fr,Divertissement,1000000,4.2361345,11955,votreavisapplifdjnousinteresse@lfdj.com
Netflix,"Netflix, Inc.",http://www.netflix.com,Divertissement,500000000,4.474151,8100524,playstore@netflix.com
Joke Wheel,Husnainmalik,,Divertissement,1000,4.85,187,husnainmalik4334@gmail.com
Tondeuse Prank - Faux Rasoir Bruit Bruyant,Yoruk Ltd,,Divertissement,100000,2.87,243,yorukltdcompany@gmail.com
Play-Dogs Balades et Groupes pour chiens,Easytek,https://play-dogs.ch,Divertissement,1000,4.181818,33,admin@play-dogs.ch
MYTF1,e-TF1,https://www.mytf1.fr/,Divertissement,10000000,3.4643412,79487,supportmobile@tf1.fr
Babysitter Daycare Games & Baby Care and Dress Up,Ginchu Games,,Divertissement,1000000,3.706704,3731,hetalshahjapan@gmail.com
Book Of Duplication,AlMasa,,Divertissement,1000,4.98,347,bookofduplication.mail@yandex.ru
Neighbor Granny : Chapter Two (unofficial) Guide,Guide Of Game ILC,,Divertissement,10000,4.5882354,17,nguyenhongquan71322@gmail.com
Phoenix Lane,"Arizones,inc",,Divertissement,1000,4.8172045,93,phoenixlane.mail@yandex.ru
Lovels Bless,zhaojinxi,http://ggfile.zwwsnet.com/,Divertissement,100000,2.96,114,zhaojx2000@gmail.com
Mega HD Movies - Full HD Movies - Cinemax HD 2020,Mega HD - Free HD Movies v2,,Divertissement,10000,4.327586,174,mociamoja12@gmail.com
Funny Kids Show Videos,Baby Videos App,https://babyvideosapp.blogspot.com,Divertissement,100000,4.2727275,55,admin@babyappvideos.com
The Memers 2 - meme generator,TheMemers,,Divertissement,10000,3.3,40,lionelrichardson7563@gmail.com
Friends Soundboard,Feel Good Inc.,https://kartikey.herokuapp.com/,Divertissement,10000,4.42,152,devkartikey92@gmail.com
Fire Phoenix Resizer,The MMH Developers,,Divertissement,1000,4.876923,130,firephoenixresizer.mail@yandex.ru
Play Dolls Surprise Collections,Zion Apps,https://zionapps.blogspot.com/,Divertissement,100000,4,94,admin@zionapps.com
Phoenix Treasure,PhoenixBuilders,,Divertissement,1000,4.8,5,autobid50@gmail.com
Dance Yourself créer de vidéos amusantes visage 3D,Pablex Apps 3D Studio,,Divertissement,10000,4.61,216,antoniolallarivero@gmail.com
SevenJewels - Tentez votre chance,DanLawrence Applications,,Divertissement,1000,5,6,lawrencedan882@gmail.com
Cinema Etoile - Cosmos,Côté Ciné,https://www.cinema-cosmos-chelles.fr/,Divertissement,50,0,0,mobile@ccg.fr
Teve - Télévision Gratuite En Français,Victor Melo Applications,,Divertissement,100000,4.1097045,2417,victormelo93developer@gmail.com
Good Morning GIF Images,Sri Krishna Apps,,Divertissement,100000,4.5,837,pugazh.cse@gmail.com
channel free,Walid Behloul,,Divertissement,100,5,9,walidjjk@gmail.com
Picture Tier List,Futura Interactive,,Divertissement,10000,2.31,106,contacting.futura@gmail.com
Master Spin Coin Tips : Daily Free Spins and Coins,Santa Studio,,Divertissement,50000,4.7384615,3286,vishalpatel06767@gmail.com
Ghost Lens Studio - Clone Camera Video Editor,New Turquite,,Divertissement,1000,3.6666667,9,newfacecompanyltd@gmail.com
Ba-Click,Ba-Click,https://ba-click.com,Divertissement,10000,2.0769231,65,contact@ba-click.com
Apps For Kids,Ivytech Innovations,http://www.ivytech.az,Divertissement,50000,4.818182,33,info@ivytech.az
Book Party,Alfajar App Studio,,Divertissement,1000,4.8545456,55,bookparty.mail@yandex.ru
Francois Damiens SoundBox,Pierre Fourreau,https://pierrefourreau.github.io,Divertissement,50000,4.6953645,1537,troisieme.droite.studio@gmail.com
Blizzard Authenticator,"Blizzard Entertainment, Inc.",https://blizzard.com/support/article/24520,Divertissement,10000000,3.3282297,109195,support@blizzard.com
CM Rewards - Coin Master,CMRewards,,Divertissement,10000,4.45,202,appcodders@gmail.com
Daily Free Spin Coin Guide - Extra Spin and Coins,Tixonic Developer,,Divertissement,10000,3.8,50,tixonicdeveloper09@gmail.com
OCS,OCS,http://www.ocs.fr,Divertissement,1000000,3.2919707,8248,support@ocs.fr
Steam,Valve Corporation,http://store.steampowered.com/about/mobile,Divertissement,50000000,4.0882516,810938,steamandroidapp@valvesoftware.com
TELLER（テラー）‐ホラーや恋愛小説などが満載のチャット小説アプリ,"PicApp, Inc.",https://teller.jp,Divertissement,1000000,4.645161,6294,info@picappinc.jp
Spin And Get Reward,RajanInfoTech,,Divertissement,1000,4.2,10,yashg9174@gmail.com
Smart IPTV Pro,Hacking Corp,,Divertissement,500,0,0,lontsi05@gmail.com
"팬플러스 - 아이돌 사진, 투표, 가상 팬픽, 덕질 앱",Team Fan,,Divertissement,100000,3.3389356,3607,cs@fanplus.co.kr
Elgato Control Center,"Corsair Memory, Inc.",https://www.elgato.com/,Divertissement,10000,3.6333334,30,app.dev.corsair@gmail.com
Smart IPTV PRO,DIGITAL PLAY ART,,Divertissement,1000,3.2,5,alphainfo2018@gmail.com
football TV - scores & live tv streaming guide,Streaming Inc,,Divertissement,10000,3.8205128,39,ashiknedumthodu123@gmail.com
EuroMillions,The Lottery Company Limited,https://www.euro-millions.com/,Divertissement,100,0,0,support@euro-millions.com
HoneyLove,Cerge DevApps,,Divertissement,50,0,0,cergecerde@gmail.com
Carnaval Augmenté,Coiriergraphics,http://www.carnavaldesdeuxrives.fr/,Divertissement,1000,4.736842,19,alex.coirier@hotmail.fr
BILEL 1.0,superandroid,,Divertissement,10,5,12,jcandro21@gmail.com
Bible Color by Number: Bible Coloring Book,Piu Piu Apps,http://piupiuapps.com,Divertissement,50000,4.76,762,piupiuapps@gmail.com
TV Time - Suivez vos séries et vos films,Toze Labs,http://www.tvtime.com,Divertissement,5000000,4.330868,385318,support@tvtime.com
Chicken Tracker: Stats for PUBG,Aslan Sarı,https://chickentracker.app,Divertissement,100000,3.9766083,1740,aslansari.dev@gmail.com
