App Name,Publisher Name,Publisher Domain,Categorie,Installations,Rating Score,Rating Number,Developer Email
Etiquettable,ECO2 Initiative,http://etiquettable.eco2initiative.com/,Cuisine et boissons,100000,4.31,356,etiquettable@eco2initiative.com
"Carrefour Livraison Express, courses en ligne",Carrefour Groupe,http://www.carrefour.com,Cuisine et boissons,100000,2.11,413,group_mobile@carrefour.com
Too Good To Go - Manger anti-gaspi à petit prix !,Too Good To Go Aps,https://www.toogoodtogo.com,Cuisine et boissons,10000000,4.8361945,198851,info@toogoodtogo.com
TWIL - Scan et achat de vins,DANTES,https://www.twil.fr,Cuisine et boissons,100000,3.59,310,contact@twil.fr
Cookomix - Recettes Thermomix,Cookomix,https://www.cookomix.com,Cuisine et boissons,100000,4.7819905,4240,minou@cookomix.com
WillMeal,Bigwill,,Cuisine et boissons,10000,3.91,150,contactbigwill@gmail.com
Frigo Magic : Idée de recette facile et anti-gaspi,frigomagic.com,http://www.frigomagic.com,Cuisine et boissons,1000000,4.0829186,6050,contact@frigomagic.com
"Karma, l'appli anti-gaspillage alimentaire",Karmalicious AB,https://www.karma.life/,Cuisine et boissons,500000,3.3490195,2590,support@karma.life
franprix : Livraison de courses et fidélité,Franprix Livraison Courses,,Cuisine et boissons,500000,4.1136365,3104,contact@franprix.fr
Partages tes recettes saines,Romain WOLMER,http://partagestesrecettes.fr/,Cuisine et boissons,5000,4.5925927,54,partagestesrecettes@gmail.com
MyFast - Minuterie et suivi de jeûne intermittent,Intermittent Fasting Inc.,http://myfasttracker.com/,Cuisine et boissons,100000,4.480663,3632,prestigeworldwide.app@gmail.com
Potager City - Livraison de fruits & légumes frais,Potager City,http://www.potagercity.fr,Cuisine et boissons,10000,4.57,641,dev@potagercity.fr
Recettes Desserts,LamarApp,http://lamarappmarket.com,Cuisine et boissons,1000,4.2,5,lamaralchemy@gmail.com
Mon déliSaveurs,Compass Group France,http://www.delisaveurs.fr/,Cuisine et boissons,100,0,0,florent.bregolato@compass-group.fr
Domino's Pizza France - en Livraison ou à Emporter,Domino's Pizza France,http://www.dominos.fr,Cuisine et boissons,500000,3.2663658,4454,digital.accounts@dominos.fr
Tastemade,Tastemade,http://www.tastemade.com,Cuisine et boissons,1000000,3.5398366,19663,support@tastemade.com
Compter Les Calories Alimentaires,Lovely Android,,Cuisine et boissons,10000,4.47,233,martinjorgeromero8989@gmail.com
WizzEat - Recettes du frigo,RootCore,https://www.wizzeat.com/,Cuisine et boissons,10000,4.0238094,84,contact@wizzeat.com
Plat et recettes WW,plat et recettes,https://platetrecette.com/,Cuisine et boissons,100,0,0,contact@platetrecette.com
Deliveroo - Restaurants Livrés,Deliveroo,http://deliveroo.co.uk,Cuisine et boissons,10000000,4.304295,140706,support@deliveroo.co.uk
Chefclub - Tous en cuisine !,Chefclub,http://www.chefclub.tv,Cuisine et boissons,100000,3.5486727,1140,mobile@chefclub.tv
Winiit | Gagner de l’argent en mangeant !,Winiit,,Cuisine et boissons,50000,4.116071,1139,winiit.app@gmail.com
Jow,Jow,https://jow.fr,Cuisine et boissons,100000,4.1703296,1835,support@jow.fr
Serenest,SERENEST,http://www.serenest.fr,Cuisine et boissons,1000,2.7,10,contact@serenest.fr
Vegg'up - Recettes végé,VEGG'UP Recettes végétariennes simples gourmandes,http://veggup.com,Cuisine et boissons,50000,4.1,768,contact@veggup.com
Novo & Moi,Novoviande,https://www.novoviande.fr/,Cuisine et boissons,10000,2.6136363,88,contact@novoviande.fr
Keto Diet: Low Carb Keto Recipes & Keto Calculator,fitness life,,Cuisine et boissons,100000,4.68,465,fitness.life.app@gmail.com
Recettes Faciles et Rapides,LamarApp,http://lamarappmarket.com,Cuisine et boissons,100000,4.06,651,lamaralchemy@gmail.com
Pâtisserie AZ: Recettes faciles,Pastry IT,,Cuisine et boissons,100000,4,239,ndiayeabdou3003@gmail.com
GoFood : Livraison de repas à domicile,GoFood France,https://www.gofood.fr,Cuisine et boissons,100,4.857143,7,contact@gofood.fr
Analyser Les Aliments - Nutrition Et Santé,Lovely Android,,Cuisine et boissons,10000,4.36,643,martinjorgeromero8989@gmail.com
