App Name,Publisher Name,Publisher Domain,Categorie,Installations,Rating Score,Rating Number,Developer Email
Mercedes me 2020,Mercedes-Benz AG,https://www.mercedes-benz.de/passengercars/being-an-owner/service-hotline.html,Lifestyle,10000,2.68,260,mercedes_me_connect@cac.mercedes-benz.com
PIP Mater,Marvakxnarwhal,,Lifestyle,50000,2.96,484,marvakxnarwhal78056@gmail.com
Mercedes me Service,Mercedes-Benz AG,https://www.mbcac.net/go/appsupport/Contact.aspx?app=Mercedes+me,Lifestyle,1000,3.4285715,7,mercedes_me_connect@cac.mercedes-benz.com
Super Emoji,kalimax,,Lifestyle,1000,3.7037036,27,kalimax2169@gmail.com
CE ACTION,ProwebCE,https://prowebce.com,Lifestyle,50000,1.93,156,applimobile@prowebce.com
Room planner : Design & Ideas,appnamedesign,,Lifestyle,5000,2.5,18,appnamedesign@gmail.com
Take me - meet & chat for adult singles,Take me - meet & chat for adult singles,,Lifestyle,5000,4.0588236,17,margustoit@gmail.com
Fruits et légumes de saison,sagix,http://sagix.fr,Lifestyle,100000,4.18,281,mouchelnicolas@gmail.com
La Centrale voiture occasion,CarBoat Media Dev mobile,http://www.lacentrale.fr,Lifestyle,1000000,4.4886737,45675,app-mobile@carboatmedia.fr
Translate Pro,alltool team,,Lifestyle,100000,3.46,640,jechscleaners@gmail.com
CSE URSSAF PACA,ProwebCE,,Lifestyle,50,0,0,applimobile@prowebce.com
Fast dating for free. 18+,Secret dating and chat.,,Lifestyle,1000,3.6666667,9,holipaaf24@gmail.com
Astrology & Palm Master,Kruso Team,,Lifestyle,10000,4.88,374,info@kruso.me
Clear Fashion,Clothparency,https://www.clear-fashion.com,Lifestyle,10000,3.79,133,m.dorangeon@clothparency.com
Energic (Tribu),Energic,https://energic.io,Lifestyle,1000,0,0,tech@energic.io
Meal Canteen,Mealcanteen,http://mealcanteen.com,Lifestyle,5000,4.2894735,38,denis@mealcanteen.com
FamilyWall - Agenda partagé & listes de courses,family & Co,http://www.familywall.com,Lifestyle,500000,4.4892087,8444,support@familyandco.com
feel better - Thérapie d’humeur et CBT,Media Local,http://feelbetterapp.io/,Lifestyle,50000,4.87,419,support@medialocal.com
Mon Horoscope du jour,SF Factory,http://www.free-horoscope.com/contact-us/,Lifestyle,1000000,4.4083867,43945,mhdj@sffactory.com
eTicket Famille,QIIS,https://eticket.qiis.fr,Lifestyle,5000,2.145631,103,contact@qiis.fr
"Muslim: Temps de Prière, Quran, Qibla, Dhikr",Muslim Assistant,http://www.muslimassistant.com,Lifestyle,10000000,4.594946,183629,help@muslimassistant.com
MonAvisLeRendGratuit,ShopAdvizor,http://trialpanel.com,Lifestyle,100000,4.070039,7729,info-france@trialpanel.com
Co–Star Personalized Astrology,Co–Star Astrology Society,https://www.costarastrology.com/,Lifestyle,500000,4.7792025,7195,horoscopes@costarastrology.com
Développement Personnel App,Gulpe,https://gulpes.com,Lifestyle,50000,4.56,254,contact@gulpes.com
MoovTime - Sortir à Nantes,MoovTime,https://www.moovtime.com,Lifestyle,10000,4.3020835,96,raphael@moovtime.com
UTAMU TU,BIGplan Apps,,Lifestyle,10000,3.7714286,70,bigplan12018@gmail.com
GEANT LOTO FIESTA,Baguera dev,https://lbsconcepts.com/,Lifestyle,1000,0,0,contact@lbsconcepts.com
Astroguide - Horoscope Du Jour & Tarot Gratuit,RedAppz,http://astroguide.app,Lifestyle,5000,4.8024693,81,hello@redappz.com
"WAG – We Act For Good, le programme coaching écolo",WWF France,https://www.wwf.fr/agir-au-quotidien/crowdacting,Lifestyle,100000,4.5538464,1960,bonjour@weactforgood.com
﻿Bien’ici - Immo : annonces immobilières,Bien’ici,https://www.bienici.com,Lifestyle,100000,4.223301,1042,support@bienici.com
Poll Pay: Gagnez de l'argent - sondages rémunérés,BitBurst GmbH,https://bitburst.net/,Lifestyle,1000000,4.596267,44890,support@bitburst.net
"Geev, le réflexe anti-gaspi objets et nourriture",GEEV,https://geev.com,Lifestyle,1000000,4.5345793,10742,contact@geev.com
مملكة الحب 2020,jokerapp,,Lifestyle,500,0,0,bjabjaawatif@gmail.com
Bermuda Video Chat - Rencontrez des nouveaux gens,Bermuda Inc.,https://www.thebermuda.net,Lifestyle,10000000,3.982978,79747,appbermuda@gmail.com
iRobot HOME,iRobot,http://global.irobot.com,Lifestyle,1000000,4.129025,45195,appteam@irobot.com
CSE DARTY IDF,ProwebCE,,Lifestyle,100,0,0,applimobile@prowebce.com
PAP,Éditions Néressis,http://www.pap.fr,Lifestyle,1000000,4.142355,5740,immo@pap.fr
"Groww, l' application de jardinage",Willemse France,https://www.groww.fr/,Lifestyle,50000,2.54,542,contact@groww.fr
