App Name,Publisher Name,Publisher Domain,Categorie,Installations,Rating Score,Rating Number,Developer Email
Google Agenda,Google LLC,http://support.google.com/calendar?p=mobilesync,Productivité,1000000000,4.274273,1162850,apps-help@google.com
SwiftKey Keyboard,SwiftKey,http://www.swiftkey.com,Productivité,500000000,4.435623,3418917,android-support@swiftkey.com
Microsoft Outlook,Microsoft Corporation,http://aka.ms/outlookFAQ,Productivité,100000000,4.3672595,4737545,noreply@microsoft.com
Elgato Stream Deck Mobile,"Corsair Memory, Inc.",https://www.elgato.com/gaming/stream-deck-mobile,Productivité,1000,2.4255319,47,app.dev.corsair@gmail.com
All Language Translator,Chartreux studio,,Productivité,1000,0,0,ChartreuxStudio@hotmail.com
Via Mobile,SVI eSolutions,http://www.sviesolutions.com,Productivité,50000,3.4683545,79,support@sviesolutions.com
OPPO Clone Phone,OPPO ColorOS,,Productivité,100000,3.45,124,coloros.feedback@oppo.com
Coot,COOT SOLUTION SAS,https://www.coot.fr,Productivité,10000,4.22,173,contact@coot.fr
"Galerie de téléphones mobiles pour vidéos, images",Social Media Apps Studio,,Productivité,50000,4.43,164,mikrama6771@gmail.com
Microsoft Excel : Utilisez des feuilles de calcul,Microsoft Corporation,https://products.office.com,Productivité,1000000000,4.4549017,2361029,officean@microsoft.com
Microsoft Word : Rédigez et partagez des documents,Microsoft Corporation,https://products.office.com,Productivité,1000000000,4.4484916,4336625,officean@microsoft.com
Collect: Save and share ideas,WeTransfer BV,https://www.wetransfer.com,Productivité,10000000,4.1531496,73443,support@wetransfer.com
Microsoft PowerPoint : Diaporamas et présentations,Microsoft Corporation,https://products.office.com,Productivité,1000000000,4.3585453,1329175,officean@microsoft.com
Lecteur et scanner de code QR - gratuit,Simple Design Ltd.,http://simpledesign.ltd,Productivité,1000000,4.6845236,3461,abishkking@gmail.com
Assistant Votre téléphone - Lien avec Windows,Microsoft Corporation,http://www.microsoft.com,Productivité,100000000,4.207752,140885,app-manager-feedback@microsoft.com
Microsoft OneNote : Organisez vos idées et notes,Microsoft Corporation,http://www.onenote.com,Productivité,500000000,4.5171337,713811,onandroidfb@microsoft.com
Family Tracker,Wiktoria Apps,,Productivité,100000,3.36,321,wiktork037@gmail.com
Numérisation Rapide: Scanner de Documents Gratuit,MindMover Tech,,Productivité,1000000,4.6539607,16984,mindmovertech@gmail.com
Docx Reader - Docx Viewer Offline,Document Viewer 2019,,Productivité,5000000,3.602378,7764,tranthihuongthao.player@gmail.com
Pearltrees,Pearltrees,http://www.pearltrees.com,Productivité,1000000,4.4897714,8392,participation@pearltrees.com
BrightLab,Sigma-Aldrich,https://www.brightlab.com,Productivité,1000,3.4,5,sigmaaldrichcorp@gmail.com
Estimate Poker,ANEO,https://www.aneo.eu,Productivité,100,5,9,moba@aneo.fr
Google Docs,Google LLC,https://support.google.com/docs/?p=android_docs_help,Productivité,500000000,4.3928943,1172705,apps-help@google.com
Coursorama,sebfie,http://www.coursorama.com,Productivité,500,4.3333335,6,sebastien.fieloux@gmail.com
"Office Document - Word Office, XLS, PDF Reader",Estrong Business Office .上海,,Productivité,500000,3.75,744,estrongs.pdfbusiness.adr@gmail.com
"Calendrier - Agenda, tâches et événements",Skuld Apps,,Productivité,1000000,4.3661556,17015,skuldapps@gmail.com
Module d'extension du service,HP Inc.,http://www.hp.com/go/mobile-printing-solutions,Productivité,500000000,4.48778,2326893,hp_print_plugin_feedback@hp.com
miTalent,evenTwo,http://eventwo.com,Productivité,10000,4.409091,22,eventwo@eventwo.com
"Office Editor Docx Reader, Word, Excel, Slide, PDF",My Reader Soft,,Productivité,1000,4.1,10,myreader.soft162@gmail.com
