App Name,Publisher Name,Publisher Domain,Categorie,Installations,Rating Score,Rating Number,Developer Email
ZAKZAK Pro - Faites de nouveaux amis en chat vidéo,ZAKZAK Pro Labs,,Réseaux sociaux,5000000,4.5643463,76092,helloindia.helloworld@gmail.com
QR & Barcode Scanner,Kruso Team,,Réseaux sociaux,1000000,4.2183485,5687,info@kruso.me
Connected2.me Un Chat Anonyme,C2M,http://connected2.me,Réseaux sociaux,10000000,3.7063186,124488,connected2memail@gmail.com
The Pattern,"The Pattern Home, Inc.",https://thepattern.com,Réseaux sociaux,500000,4.342029,3508,contact@thepattern.com
Chamet：Live video chat & Match & Meet,FULIAO HONG KONG LIMITED,http://www.ichamet.com/,Réseaux sociaux,100000,4.2,664,arubawei@gmail.com
COVID19 Monitor,Tietanicc! Studio,,Réseaux sociaux,1000,4.0555553,18,krzysztof.korc@gmail.com
Plato − Jeux et Discussions de Groupe,Plato Team Inc.,https://www.platoapp.com/faq,Réseaux sociaux,5000000,4.047877,61234,hello+googleplay@platoapp.com
Playsee : Guide local pour voyager et socialiser,Playsee,https://www.playsee.co/,Réseaux sociaux,1000000,3.9328063,2620,support@playsee.co
Friendship App,emilycrawford1170,,Réseaux sociaux,5000,0,0,emilycrawford1170@gmail.com
Hoogo : Se faire des amis par Vidéochat,Hoogo Group,,Réseaux sociaux,1000000,4.495913,31304,czqccc@outlook.com
Agenter - Professional Network/Income/Commission,agenter,https://www.agenter.com,Réseaux sociaux,5000,4.852113,142,dev@agenter.com
WannaMatures Dating – Meet Women over 40,Rose Groover,,Réseaux sociaux,50000,3.84,149,contact@wannamat2.club
Hozana - Communautés de prière,Hozana,https://hozana.org/,Réseaux sociaux,10000,4.7777777,54,android@hozana.org
Message,"Message, Phone, Dialer, Contacts Technologies",,Réseaux sociaux,100000,4.44,445,message.inc@gmail.com
"Messenger : messages, chat vidéo, appel gratuit",Messenger Pro : Free Texts & Messages by AppyHigh,https://appyhigh.com/app-ads.txt,Réseaux sociaux,10000000,4.264219,14762,help@appyhigh.com
Petzone,PETZONE CORP,https://petzone.co,Réseaux sociaux,50,4.857143,7,petzonecorp@gmail.com
