App Name,Publisher Name,Publisher Domain,Real Domain,Categorie,Installations,Rating Score,Rating Number,Developer Email
Neoness : My NeoCoach,Neoness,https://neoness.fr,neoness.fr,Sports,10000,4.4545455,99,
"Zone Turf 🏇 - pronos, rapports et courses",NextInteractive,http://www.zone-turf.fr/,zone-turf.fr,Sports,500000,4.219745,3177,
TURFOMANIA - Turf et pronostic,ELIRAWEB,http://www.turfomania.fr,turfomania.fr,Sports,500000,4.274229,9146,
"Top Pronostic - Tiercé, Quarté, Quinté +",Magic Betting Tips DEV,http://magickingtips.com,magickingtips.com,Sports,5000,4.5925927,54,
Turf résultats des courses,Syliase,https://www.turfoo.fr,turfoo.fr,Sports,100000,4.5442624,3079,
Le Quinte Plus - Pronostic & Résultats Courses,Magic Betting Tips DEV,https://www.magickingtips.com,magickingtips.com,Sports,5000,4.611111,72,
Geny Courses - Infos Turf,GENY Courses,http://www.geny.com,geny.com,Sports,500000,4.2415457,2501,
FFSA Live,pksoft,https://www.pksoft.fr,pksoft.fr,Sports,10000,3.987342,79,
Cricket Scores LIVE CricSmith,Kawntr Limited,https://cricsmith.com,cricsmith.com,Sports,10000,4.59,152,
"Turf Gratuit, Pronos Quinté +",RUE DES TURFISTES,http://rue-des-turfistes.com,rue-des-turfistes.com,Sports,50000,4.42,331,
Turf : pronostics et résultats pmu & partants,tpm media sarl,http://www.turf-pronostics.com,turf-pronostics.com,Sports,100000,4.23,688,
Football Squad Builder : Create your own team,clstudio.info,https://clstudio.info/index.html,clstudio.info,Sports,1000000,3.965735,11183,
Yassin TV - بث مباشر‎,Live Ya TV inc,,,Sports,500,2.1111112,18,
ffgolf,ffgolf,https://www.ffgolf.org,ffgolf.org,Sports,50000,4.24,801,
Flash Stickman Rope Hero – Speed Hero Crime City,Free Crime Action Games 2018,,,Sports,100000,4.27,762,
My Coach Rugby,My Coach Sport,http://www.mycoachsport.com,mycoachsport.com,Sports,1000,3.9444444,18,
TAG Heuer Connected,TAG Heuer,https://www.tagheuer.com/,tagheuer.com,Sports,1000,3.6923077,13,
Nyl2Pronos,Nyl2 Pronos,http://www.nyl2pronos.com,nyl2pronos.com,Sports,50000,4.4242425,1656,
Bottle Shooter- Ultimate Bottle Shooting Game 2019,Maritime Simulation Games,https://c191f0771.app-ads-txt.com,app-ads-txt.com,Sports,1000000,4.2166667,1285,
"SRF Sport - News, Livestreams, Resultate",Schweizer Radio und Fernsehen (SRF),http://www.srf.ch,srf.ch,Sports,100000,4.347826,1392,
Our League,InCrowd,http://incrowdsports.com,incrowdsports.com,Sports,10000,1.96,494,
البث الرياضي | مباريات وملخصات بث مباشر,شبكة التفاز العربي المباشر,,,Sports,1000,4.4583335,72,
Delkim App,delkim ltd,http://www.delkim.co.uk,delkim.co.uk,Sports,500,0,0,
Inter Miami CF,Inter Miami CF,https://www.intermiamicf.com/,intermiamicf.com,Sports,1000,4.9142857,35,
Equi Vintage,Oversee Digital,http://oversee-digital.fr,oversee-digital.fr,Sports,5000,4.44,314,
DavPronos,DavPronos,https://www.davpronos.fr,davpronos.fr,Sports,10000,3.21,444,
"PMU Hippique – Courses, Turf, Quinté, Tiercé, Pari",PMU,https://www.pmu.fr/turf/,pmu.fr,Sports,500000,4.308353,12834,
Gestionnaire ligue soccer2020:Football Stars Clash,1der Sports,,,Sports,5000,4.6578946,38,
Quinté Base 5 - Pronostic Quinté+ de 5 chevaux,Data Diffusion Service,http://www.datadiffusionservice.fr,datadiffusionservice.fr,Sports,500,0,0,
Thief Robbery Simulator,Softlab,,,Sports,100000,3.51,216,
Ville Avion Pilote Simulateur: Avion Atterrissage,Game Scapes Inc,,,Sports,100000,4.05,136,
QPlus - Résultats & Prono Tiercé Quarté Quinté+,Data Diffusion Service,http://www.oneturf.fr,oneturf.fr,Sports,10000,4.480769,52,
Impossible Track Car Driving: Stunt Games 2020,Chilli Games 3D,https://chilligame.blogspot.com,blogspot.com,Sports,100000,4.13,431,
Formule voiture cascades 3D rampe voiture cascades,InterBolt Games,,,Sports,5000000,4.288104,5633,
Quad VTT Simulateur de tir et de course,Mizo Studio Inc,http://www.mizostudio.com,mizostudio.com,Sports,5000000,4.6803455,4808,
Jeux de dinosaures,Limitless - Free Games,http://www.xfactorgames.com,xfactorgames.com,Sports,500000,4.77,907,
La police stunt voiture prado - cascades de rampe,InterBolt Games,http://www.interboltgames.com,interboltgames.com,Sports,100000,4.29,280,
Prédictions Foot,SauzanaProd,https://lesfrancaisprod.sauzanaprod.ovh,sauzanaprod.ovh,Sports,1000000,4.3039474,68600,
PronosBoost,Guillaume r84,http://www.pronosboost.com,pronosboost.com,Sports,5000,3.1818182,33,
UEFA.tv Always Football. Always On.,UEFA,https://www.uefa.tv,uefa.tv,Sports,100000,4.02,435,
YASSIN-TV    البث المباشر 2020,TAW.DEV,,,Sports,10000,3.6849315,73,
snow mountain atv quad bike jeu de course,Abreeq Entertainment,,,Sports,50000,4.47,167,
Pronostic Foot (Prime),Sports Betting Expert,,,Sports,100000,4.6313725,5317,
