App Name,Publisher Name,Publisher Domain,Categorie,Installations,Rating Score,Rating Number,Developer Email
KeepClean - Cleaner & Faster,APPS INNOVA,http://ikeepapps.com/,Outils,1000000,4.6158614,9021,lockappdev8@gmail.com
"One Security - Antivirus, Cleaner, Booster",One Family,,Outils,100000,4.3,228,mardongmobi@gmail.com
Synthèse vocale Google,Google LLC,http://www.google.com/,Outils,5000000000,4.3527894,1652987,tts-feedback@google.com
Samsung Smart Switch Mobile,"Samsung Electronics Co.,  Ltd.",http://www.samsung.com/us/smartswitch,Outils,100000000,4.3934546,204711,sswitch.cs@samsung.com
Galaxy Wearable (Samsung Gear),"Samsung Electronics Co.,  Ltd.",http://www.samsung.com/support/,Outils,100000000,4.62898,899453,gmanager.sec@samsung.com
Total Direct Energie,Total Direct Energie,https://total.direct-energie.com,Outils,500000,3.5552764,11986,supportapp@total-directenergie.com
"One Booster - Antivirus, Booster, Phone Cleaner",One Family,https://www.onebooster.me/,Outils,500000,4.2782607,1259,mardongmobi@gmail.com
Huawei Backup,Huawei Internet Services,,Outils,100000000,4.4085603,90874,hwcloud@huawei.com
PDF Reader pour Android,Reader Tools,,Outils,10000000,4.379007,115175,duongngocth95@gmail.com
Simple PDF Lecteur,Rizwan Chaudhary,http://developer34.com,Outils,5000000,4.4695787,13092,rizwanchaudhary34@gmail.com
Camera and Mic Blocker,Manyera,http://www.guardev.com,Outils,10000,4.38,451,guardev.apps@gmail.com
"Speed test - Débit Internet wi-fi, 3G, 4G, 5G",nPerf.com,http://www.nperf.com,Outils,1000000,4.749426,135637,contact-android@nperf.com
Super Cleaner,svetoslav50658alymbekov197,,Outils,10000,4.38,252,svetoslav50658alymbekov197@gmail.com
Papii Camera,vinceken,,Outils,50000,3.113744,211,vinceken00@gmail.com
READER DE CODE QR(GRATUIT) . QR CODE,hopesj0314,,Outils,500000,4.72103,2563,hopesj0314@gmail.com
Mon Espace La Poste Mobile,La Poste Mobile,http://www.lapostemobile.fr,Outils,1000000,4.3092885,10138,appli-mon-espace-android@lapostemobile.fr
Free Mobile Netstat,gilbsgilbs,http://fm.netstat.fr,Outils,100000,3.4676259,1516,gilbsgilbert+fmn@gmail.com
"Nkapa Security, protégez votre téléphone",Nkapa Apps,https://www.safetips.club,Outils,100000,4.359375,1321,Syoko345Aida@gmail.com
RED & Moi,SFR,http://www.red-by-sfr.fr/,Outils,1000000,3.9459546,31749,support.android@sfr.com
Speed Test,Speed Meter Tool,https://aib.vn,Outils,1000000,4.467602,20861,nguyenduykien.aib@gmail.com
Lecteur de code QR: Scanner de code QR,QRCode Family,,Outils,100000,4.36,829,qrcodereader9qrcodescanner@gmail.com
SFR & Moi,SFR,http://www.sfr.fr/,Outils,5000000,4.0311017,64071,support.android@sfr.com
QR Code lecteur,Master_App_Studio,,Outils,1000000,4.4106145,3644,khunsoek972@gmail.com
Espace Client,Bouygues Telecom,https://www.bouyguestelecom.fr,Outils,5000000,4.2074656,151960,appclient@bouyguestelecom.fr
La langue Traducteur - OCR Et La langue,Big Ocean Studio,,Outils,100000,4.5507812,2603,bigoceanstudio2019@gmail.com
GRATUIT QR Code Lecteur: QR Code Scanner Gratuit,EZ to Use,,Outils,10000000,4.578449,198307,honestlyapp.questions@gmail.com
Google Traduction,Google LLC,http://support.google.com/translate,Outils,500000000,4.4824443,6884593,translate-mobile-support@google.com
Couverture Mobile,Christophe Ribot,https://www.couverture-mobile.fr/,Outils,10000,3.73,188,app@couverture-mobile.fr
NoiseCapture,Ifsttar,http://noise-planet.org/,Outils,100000,4.3,196,noisecapture@noise-planet.org
Backdrop Daydream,Google LLC,http://developer.android.com/tv,Outils,10000000,2.8510637,47,apps-help@google.com
ENGIE Electricité et Gaz,ENGIE particuliers,http://particuliers.engie.fr,Outils,500000,3.9444444,9033,android.particuliers@engie.com
"Email App All-in-one - Email gratuit, sécurisé",social app 43,,Outils,1000000,3.9041917,1767,hukchrist@gmail.com
Entretien de l'appareil,"Samsung Electronics Co.,  Ltd.",,Outils,1000000000,4.2219286,172547,smart.mngr@samsung.com
Speedtest.net,Ookla,https://www.speedtest.net/apps/android,Outils,100000000,4.414864,1139944,support@speedtest.net
"FortApp - Shop, Leaks, Challenges, Items & News",Naxel Games,https://naxelgames.com,Outils,100000,4.27,241,support@naxelgames.com
SEP Mobile,Skycure acquired by Symantec,https://www.symantec.com/products/endpoint-protection-mobile,Outils,100000,3.78,597,sep_mobile_feedback@symantec.com
Traducteur Langue - Texte Traducteur,MindMover Tech,,Outils,1000000,4.138354,11540,mindmovertech@gmail.com
Boussole Map  pour Android,"TCS Team DEV.,Jsc",,Outils,100000,4.4,740,mrsonpro88@gmail.com
inWebo Authenticator 6,In-Webo Technologies,http://www.inwebo.com,Outils,10000,2.7333333,30,contact@inwebo.com
Économiseur de batterie,Netroken,http://netroken.ca/,Outils,100000,3.94,725,support@netroken.ca
FollowCo,Profile Engagement Co.,,Outils,50000,4.617391,1208,profile.engagement@gmail.com
Flower Care,"Beijing HHCC Plant Technology Co., Ltd",http://www.huahuacaocao.com,Outils,50000,2.5287356,1761,kefu@hhcc.io
PDF Reader - PDF Viewer 2020,Apps for Anybody,http://vivulang.com,Outils,100000,4.07,259,contact.topapps@gmail.com
Télécommande WIFI pour Box et Smart TV,Cyrille Fougerouse,http://nas-fcyril.synology.me/help,Outils,100000,4.04,527,TheFCCompany@gmail.com
Screen Sharing - Screen Share with Smart TV,SeviApps,,Outils,500000,2.74,343,seviapps4@gmail.com
🐼Panda Helper VIP!,BestBiiiz-Studios,,Outils,50,0,0,tullio8p8lardo@gmail.com
Corbeille Dumpster,Baloota,https://www.dumpsterapp.mobi,Outils,10000000,4.3268576,298954,support.dumpster@baloota.com
DuckDuckGo Privacy Browser,DuckDuckGo,https://duckduckgo.com/app,Outils,10000000,4.7231994,389211,android@duckduckgo.com
FAST Speed Test,"Netflix, Inc.",http://www.netflix.com,Outils,1000000,4.4231706,16631,fastsupport@netflix.com
Comarch tPro Mobile,Comarch S.A.,http://tpro.comarch.com,Outils,1000,5,8,tpro@comarch.com
3DMark - The Gamer's Benchmark,UL LLC,https://benchmarks.ul.com/3dmark-android,Outils,1000000,4.2557955,25145,UL.BenchmarkApps@ul.com
Clean Master 2020,appNextG,http://www.appnextg.com,Outils,500000,3.5675676,2356,care@appnextg.com
Canon PRINT Inkjet/SELPHY,Canon Inc.,https://global.canon/cpis/,Outils,10000000,4.6293087,142885,pixmamaxify-printingsolutions@jp.canon.com
Functional Flashlight Pro,Helga Wurth,,Outils,100000,3.64,172,clingenpeelpopovitch@gmail.com
ma Carte BP,EG Group,https://macartebp.fr/contact,Outils,50000,4.352941,1198,macartebp@efr-group.com
NMEA Tools,Peter Ho,,Outils,10000,4.1,160,peterhohsy@gmail.com
Fine Booster - Powerful Android Optimize Tool,For World Peace,,Outils,100000,4.517413,2371,snoopycarliuk@gmail.com
Smart Scanner,pandoraellie,,Outils,500,0,0,pandoraellie229@gmail.com
PDF reader for Android: PDF file reader,Capital Winter,,Outils,500000,4.680187,6503,capitalwinter1@gmail.com
Entrust IdentityGuard Mobile,Entrust,http://www.entrust.com,Outils,1000000,4.2181206,3027,support@entrust.com
Screen Mirroring - Cast to Smart TV,FRESHY TOOLS,,Outils,1000,3.1333334,15,freshytools@gmail.com
SpeedCN - 能传4K高清的回国加速器，永久免费服务海外华人,SpeedCN Team,https://speedcn.in,Outils,50000,4.9408603,5654,support@speedcn.cloud
Hamm Seismograph,i-NOVATiON GmbH,http://i-novation.de,Outils,10000,4.45,143,support@i-novation.de
Netmonitor,parizene,,Outils,1000000,4.372851,12241,parizene@gmail.com
Translate and AR Measure,Harriers Studio,,Outils,100,0,0,zene10mega@gmail.com
Messenger Messages,WeCreateFun,,Outils,500000,3.94,538,wcreatefun@gmail.com
Amplificateur De Son - Booster De Son,SoulApps Studio,,Outils,1000000,4.8235536,99565,StunningLibrary@gmail.com
Force Stop Apps (No root),Boot Studio,http://kevinfun.xyz,Outils,100000,4.6382155,10426,zfeng155@gmail.com
Link Master - Rewards App,Appcodders,,Outils,10000,4.820513,39,appcodders@gmail.com
CrowdMag,NOAA's National Geophysical Data Center,http://www.ngdc.noaa.gov/geomag/crowdmag.shtml,Outils,10000,4.3,281,geomag.models@noaa.gov
Booster de vitesse et élimination des déchets,essential tools,,Outils,1000000,4.480438,6536,spacecleaner@yandex.ru
Spin Master - Free Spins and Coins Tips,Prayosha Plaza,,Outils,10000,4.51,176,prayoshaplaza@gmail.com
Exodus Privacy,Exodus Privacy,https://exodus-privacy.eu.org/,Outils,50000,4.09,376,contact@exodus-privacy.eu.org
Chargement ultra-rapide: charge Très rapide  2020,OlaApps,,Outils,500000,4.612805,10309,oolaapps@gmail.com
PCMark for Android Benchmark,UL LLC,https://benchmarks.ul.com/pcmark-android,Outils,100000,3.9047618,2545,UL.BenchmarkApps@ul.com
"Mi Browser Pro-Video Download, Free, Fast & Secure",Xiaomi Inc.,http://www.xiaomi.com,Outils,10000,4.32,342,browser-service@xiaomi.com
Video downloader for Instagram 2020 - Repost IG,Story Saver - Rain Sounds for Sleep Sound,,Outils,1000,5,14,nguyenvanhoa19101992@gmail.com
"AdBlock:Bloquer les publicités, réseau plus propre",AdBlock Block All Ads,,Outils,500000,3.9801168,8728,space.ship.team@gmail.com
GPS Nmea Lite,DotLines Development,https://plus.google.com/communities/109854601702895710109,Outils,1000,2,8,dotlinesdev@gmail.com
Degree & Decimal Converter,Edip Ahmet TAŞKIN,,Outils,10000,3.9583333,24,edips979@gmail.com
My Mobile Secure Protection VPN illimitée,"VoiceFive, Inc.",http://www.mymobilesecure.com,Outils,1000000,3.6404958,7358,support-team@mymobilesecure.com
Tout Les langues Traducteur -Libre Voix Traduction,Mobile Translator Apps,http://www.mobiletranslatorapps.com/app-ads.txt,Outils,10000000,4.472496,49373,mobiletranslatorapps@gmail.com
Réveil intelligent: Sonneries d'alarme,The Night Clocks,http://nightclocks.com,Outils,100000,4.5031447,1711,idealapps677@gmail.com
Geekbench 5,Primate Labs Inc.,https://www.geekbench.com/,Outils,100000,4.142857,1083,support@primatelabs.com
All TV Remote Control For All TV,Xindro Goewons,,Outils,10000,4.15873,1411,contact@tenozy.com
Réveil,Hodoz,https://thejinglist.com,Outils,50000,3.6607144,56,goodmigel@gmail.com
PD Scanner,reydaphne,,Outils,5000,3.4848485,33,reydaphne02@gmail.com
Enregistrement d'appel - Cube ACR,Catalina Group,https://cubeacr.app,Outils,10000000,4.4627995,390173,support@cubeacr.app
PDF Reader for Android 2020,iVila Studio,,Outils,500000,4.719665,5050,ivilamobile@gmail.com
Screen Mirroring to Smart TV,Bitsy Technologies,,Outils,100000,4.17,956,contact@bitsy.com
Ligne Bis,Néocom Multimédia,https://www.lignebis.fr,Outils,10000,3.6052632,38,contact@lignebis.fr
AI Benchmark,Ignatov Andrey,http://ai-benchmark.com,Outils,50000,4.25,551,andrey@vision.ee.ethz.ch
iVCam Webcam,e2eSoft,https://www.e2esoft.com/ivcam,Outils,50000,4.803828,2159,android@e2esoft.com
Pdf Viewer 2020,Open Mobi,,Outils,1000,4.410714,56,dev@openmobi.pl
Google Localiser mon appareil,Google LLC,http://www.android.com/find,Outils,50000000,4.5022783,709080,apps-help@google.com
Freeteuse - Télécommande Freebox Révolution/Delta,Yannick Le Roux,http://betton.escrime.free.fr/index.php/description-smartpoule,Outils,500000,4.0542636,2607,le.roux.yannick35@gmail.com
Ma Livebox,Orange SA,http://malivebox.orange.fr,Outils,1000000,4.235849,40724,support.malivebox@orange.com
Radiation Scan Pro,FFZ srl,http://www.mailant.it/radiationscanpro/index.html,Outils,1000,4.1666665,6,pietro@ffz.it
Google Authenticator,Google LLC,https://support.google.com/accounts/bin/answer.py?hl=en&answer=1066447,Outils,10000000,3.988447,218057,accounts-support@google.com
"Gboard, le clavier Google",Google LLC,http://www.google.com/,Outils,1000000000,4.583115,5020728,apps-help@google.com
Endoscope Camera,US apps 2020,,Outils,100000,4.35,980,toop.apps.2020@gmail.com
AweSun Remote Desktop,AWERAY LIMITED,https://www.aweray.com/,Outils,10000,4.44,134,contactus@aweray.com
xmeye,huangwanshui,http://www.xmeye.com,Outils,10000000,4.112565,52249,nbuhws@gmail.com
Lampe torche Flashlight Sélène,Flashlight Free App Dev.,https://www.facebook.com/flashlight.selene,Outils,10000000,4.1874776,27940,led.flashlight.selene@gmail.com
Scrabble Score,Romain Lebouc,https://www.aasuited.net,Outils,10000,4.25,36,niamor1484@gmail.com
DirectChat (ChatHeads for All),Unique Gem Visions,http://www.uniquegem.net,Outils,1000000,4.3572326,8007,uniquegemvisions@gmail.com
Sonomètre (Sound Meter),Abc Apps,http://kiwwi9999.cafe24.com,Outils,10000000,4.4278846,129698,fjgh9999@gmail.com
Photo récupération 2020 Restaurer supprimé Photos,FJLonethand,,Outils,100000,4.505848,3492,fjtobe00@gmail.com
Verisure,Securitas Direct,http://www.verisure.com,Outils,1000000,4.053613,4564,android@securitas-direct.com
Loupe,Pony Mobile,,Outils,100000,4.827381,1931,binghuostudio@gmail.com
Screen Mirroring - Cast Phone To All TV,Screen Mirroring For TV,,Outils,1000,4.8,5,thanhthanhqy@gmail.com
"Wonder Cleaner - Cleaner, Booster & Optimizer",Mose Seliana,,Outils,10000,4.44,50,moseselianago@gmail.com
boussole gratuite en français 2020,DEV CHOKEIR,,Outils,1000,4.8735633,87,apps2019.2020@gmail.com
Files by Google : libérez de l'espace de stockage,Google LLC,http://filesgo.google.com/,Outils,100000000,4.6559525,2519144,files-feedback@google.com
"Ultimate Tuner 🎸Accordeur guitare, basse, ukulele",Tabs4Acoustic - Free guitar tools,http://www.tabs4acoustic.com,Outils,1000000,4.5992317,7900,mobile@tabs4acoustic.com
CITIZEN CALCULATOR,AngelNX,http://www.angelnx.com/app-citizen-calculator,Outils,10000000,4.453662,46532,angelnx.com@gmail.com
ES File Explorer,ES File Manager,,Outils,50000,4.17,594,truecallapps.anro@gmail.com
Rotation de l'écran,jubo co,,Outils,1000000,4.192338,25689,jubong.oh@gmail.com
Smart View TV & All Share Cast For Smart TV,Magictouchapps,,Outils,1000000,3.800231,8819,magictouchapps@gmail.com
Kaco Camera,dream2020carry,,Outils,1000000,3.6475904,3368,dream2020dream2019@163.com
Super QR Scan,aberdeencain,,Outils,10000,4.140351,57,aberdeencain@gmail.com
Timeline - Enregistrer toutes les notifications,codococo,https://codococo.com,Outils,500000,3.8242424,1660,codococo@gmail.com
"Adblock - No Ads. Better battery, faster browsing.",Rucksack Mobile App Development,https://rucksack.dev,Outils,50000,4.14,975,contact@rucksack.dev
IoT MQTT Panel,Rahul Kundu,http://www.snrelectronicsblog.com/iot/iot-mqtt-panel-user-guide/,Outils,50000,4.31,604,snrelectronicsblog@gmail.com
Zapette pour freebox,White Kadro,,Outils,100000,3.51,506,leonidroid@protonmail.com
Protect-Home,Avidsen France,http://www.avidsen.com,Outils,100000,3.11,890,hotline@avidsen.com
Cx Explorateur de Fichiers,Cx File Explorer,,Outils,5000000,4.759213,56273,cx.fileexplorer@gmail.com
Scary Teacher 3D Part 4: guide and tips,Chitosan App devellopement,,Outils,10000,3,37,chito.armando1995@gmail.com
NissanConnect EV,Nissan Europe,http://www.nissan.co.uk,Outils,100000,1.6217009,3487,evuk@nissan-services.eu
rechercher par image - recherche d'image inversée,SSAID,,Outils,10000,4.11,275,boy741150@gmail.com
READER DE CODE QR(GRATUIT) / QR CODE READER(FREE),hopesj0314,,Outils,1000000,4.661654,8132,hopesj0314@gmail.com
"Docx Reader - Word, Document, Office Reader - 2020",Skydot Apps,http://skydot.tech,Outils,100000,3.56,360,feedback@skydot.tech
Phone Clone,Huawei Internet Services,,Outils,100000000,4.32269,41940,hwcloud@huawei.com
Hello Ice Scream neighbor Walkthrough,TNDE,,Outils,1000,3.6363637,11,thepapik@gmail.com
Lampe de poche,"Lighthouse, Inc.",,Outils,50000000,4.5333858,243851,mxchenzb@gmail.com
My Fitness,Sasa Ding,,Outils,100000,3.37,144,ssaaing520@gmail.com
Changeur de voix - changeur de voix avec effet,SoulApps Studio,,Outils,500000,4.5979958,9235,StunningLibrary@gmail.com
Huawei Mobile Services,Huawei Internet Services,,Outils,100000000,3.9184167,258591,mobileservices@huawei.com
Bloc-Notes Rapide,Simple Apps.,,Outils,1000000,4.800229,26385,bestmapsdev@gmail.com
Google Go : des recherches plus rapides que jamais,Google LLC,https://www.google.com/search/about/,Outils,100000000,4.3589954,269205,apps-help@google.com
QR Code Lecteur,TWMobile,http://www.mobile.tw,Outils,50000000,4.406768,564763,iapp0806@gmail.com
CM Security Master Antivirus,360 security dev.,,Outils,10000,3.25,260,CMSecurityMaster@hotmail.com
Screen Mirror 2020 - TV Screen Casting,Neon pro,,Outils,100000,4.16,925,proneon20@gmail.com
Interprète - Traducteur vocal 🇫🇷,Interpreter app voice translator free 100 language,http://theinterpreterapp.blogspot.com,Outils,5000000,4.5528684,78132,theinterpreterapp@gmail.com
Phone Guardian Sécurité mobile et Protection VPN,App Annie Basics,http://www.phoneguardianapp.com,Outils,1000000,4.7997446,134033,support@phoneguardianapp.com
Détecteur d’Ondes Gratuit - ElectroSmart,ElectroSmart,https://electrosmart.app,Outils,100000,4.3773584,2155,support@electrosmart.app
Lecteur de code QR,malam,,Outils,10000,4.79,136,lokaliailkia@gmail.com
Google Opinion Rewards,Google LLC,https://www.google.com/insights/consumersurveys/,Outils,10000000,4.404817,1582070,opinion-rewards-support@google.com
NFC Tools,wakdev,http://www.wakdev.com,Outils,1000000,4.509415,20414,apps@wakdev.com
Grande Horloge Digitale,Riccardo Camattari,https://www.camasapp.com/en/huge-clock-digital/,Outils,100000,4.75969,1343,riccardo.camattari@gmail.com
NFC Tools,wakdev,http://www.wakdev.com,Outils,1000000,4.509415,20414,apps@wakdev.com
Grande Horloge Digitale,Riccardo Camattari,https://www.camasapp.com/en/huge-clock-digital/,Outils,100000,4.75969,1343,riccardo.camattari@gmail.com
Move to iOS,Apple Inc.,http://www.apple.com,Outils,50000000,2.7744036,130042,support@apple.com
VPN SECURITY 360,Mark S Project,,Outils,100000,3.22,246,swensonm35@gmail.com
BTSmartwatch,"Shenzhen Jusheng Intelligent Technology Co., Ltd.",http://www.ruanan.com,Outils,1000000,2.7791095,5896,cto@hstong.net
Epson iPrint,Seiko Epson Corporation,https://www.epson.com/,Outils,10000000,4.4860964,146329,Feedback-AndroidAppsPrn@exc.epson.co.jp
Rotation Control,CrapeMyrtle,,Outils,5000000,4.2215743,20771,android-support@crape.org
Accurate Guitar Tuner to Set Strings,RiteApps,http://www.ohiofreelancers.com/,Outils,10000,3.79,301,infoohiofreelancers@gmail.com
Play Services Info (Update),weberdo,https://weberdo.com/?from=listing-serviceinfo,Outils,10000000,4.5468583,79232,playstore@weberdo.com
Pulse Secure,Pulse Secure,http://pulsesecure.net,Outils,500000,3.394958,1226,google.play.admin@pulsesecure.net
Object Viewer for MERGE Cube,MERGE,https://mergevr.com,Outils,50000,2.61,123,support@MergeVR.com
Screen Mirroring - Screen Share with Smart TV,WhyApps,,Outils,50000,2.625,16,maluspumila260@gmail.com
QR Code Reader,Scan Mobile,,Outils,1000000,4.48492,72417,scanmobileapp@gmail.com
Centre de contrôle iOS 13,LuuTinh Developer,http://www.luutinhit.blogspot.com,Outils,10000000,4.72795,1088853,smartscreenonoff@gmail.com
Qwant - Ethique & Vie Privée,Qwant,http://www.qwant.com,Outils,1000000,4.066085,8087,contact@qwant.com
