App Name,Publisher Name,Publisher Domain,Categorie,Installations,Rating Score,Rating Number,Developer Email
OUIGO – La France à partir de 10€ en TGV 🚄,SNCF,https://www.ouigo.com/faq,Voyages et infos locales,1000000,4.0672154,7325,support.appli@ouigo.com
Vueling - Vols pas chers,VUELING AIRLINES SA,http://m.vueling.com,Voyages et infos locales,1000000,3.5511007,13200,mobile.support@vueling.com
Karos - covoiturage quotidien,Karos SAS,http://www.karos.fr,Voyages et infos locales,100000,4.299296,5705,contact@karos.fr
Station d'Auron,Data-Moove,http://data-moove.com,Voyages et infos locales,100,0,0,datamoove@gmail.com
BlaBlaCar - Covoiturage & BlaBlaBus,BlaBlaCar,http://www.blablacar.com,Voyages et infos locales,50000000,4.628414,1317424,android@blablacar.com
mehr-tanken - Save smart!,webfactor media,http://mehr-tanken.de/,Voyages et infos locales,5000000,4.57875,172933,support.de@mehr-tanken.de
Conseils Voyageurs,Ministère des Affaires étrangères,http://www.diplomatie.gouv.fr/fcv/,Voyages et infos locales,50000,3.16,167,courrier.internautes@diplomatie.gouv.fr
Vibely,Vibely,http://www.vibely.io,Voyages et infos locales,5000,4.2,115,aloha@vibely.io
ME Translator,MUAMA,,Voyages et infos locales,100000,3.5333333,1365,support@enence.com
Newrest – Catering unlimited,Newrest,http://www.newrest.eu,Voyages et infos locales,10000,3.6666667,42,ngi.it@newrest.eu
"Ma Position - Aide au Voyage, Adresse et Widget",kaiSquare,https://lightapp3.firebaseapp.com/,Voyages et infos locales,500000,4.286822,2677,feedback.kaisquare@gmail.com
Google Earth,Google LLC,http://www.google.com/earth/,Voyages et infos locales,100000000,4.430117,2553969,apps-help@google.com
Sail The World,Sail The World,https://www.stw.fr,Voyages et infos locales,100,0,0,webmaster@stw.fr
Visorando GPS randonnée,Visorando,http://www.visorando.fr,Voyages et infos locales,1000000,4.456476,33564,webmaster@visorando.com
Real Flying Bike Taxi Simulator: Bike Driving Game,play.io,,Voyages et infos locales,100000,4.29,270,play.interactive.io@gmail.com
Live Earth Map 2020 : GPS Satellite & Street View,bitapps19,,Voyages et infos locales,100000,4.42,252,bitapps19@gmail.com
Rando Bretagne Sud,MHIKES,https://www.randobretagnesud.bzh,Voyages et infos locales,10000,3,61,info@randobretagnesud.bzh
Cruise Ship Driving US Police Transport Simulator,play.io,http://playinteractive.io,Voyages et infos locales,500000,4.38,689,play.interactive.io@gmail.com
"Earth Cam Live: Live Cam, Public Webcam & Camview","Hi-Class Apps: Gps Route Finder, Maps & Navigation",,Voyages et infos locales,500000,4.584615,3999,hiclassapps@gmail.com
iPhiGéNie,iPhiGéNie-Optima,http://iphigénie.com,Voyages et infos locales,500000,3.8,2316,aide.iphigenie@gmail.com
iziTRAVEL audioguide de voyage,Informap Technology Center,https://izi.travel/,Voyages et infos locales,1000000,4.4361463,13445,support@izi.travel
Insane GT Stunts : Mega Ramp Games,Gamelounge,,Voyages et infos locales,10000,4.9,298,gamelounge787@gmail.com
US Police Robot Transform Truck,Mission 69 Apps,,Voyages et infos locales,500000,4.21,236,smission863@gmail.com
US Police Cruise Ship Plane Truck Transport,Funky App Art,,Voyages et infos locales,100000,4.23,403,FunkyAppArt@gmail.com
Flying Army Car Transform Robot Shooting Game,Lemon Tart,,Voyages et infos locales,50000,4.870968,62,Hua.official@Gmail.com
Park and view : réservations en pleine nature,Park and view,http://www.parkandview.com,Voyages et infos locales,1000,3.275862,29,gregoire.popineau@parkandview.com
Andégave - Tourisme et Loisirs,Andégave Communication,http://www.andegave-communication.com/,Voyages et infos locales,500,5,19,guilhem.andegave@outlook.fr
PagesJaunes – recherche locale,PagesJaunes,http://www.pagesjaunes.fr,Voyages et infos locales,10000000,3.773015,45986,support.android@solocal.com
Digital Compass for Android,Tiger Tool,,Voyages et infos locales,100000,4.639535,1777,tigertooloffice@gmail.com
abillionveg - Find Vegan Stuff,abillionveg,https://www.abillionveg.com/,Voyages et infos locales,50000,4.74,561,contact@abillionveg.com
Smart Compass for Android,Alomobi App,,Voyages et infos locales,100000,4.8444443,3792,alomobiapp@gmail.com
Yes-Car,YESCAR,https://www.yes-car.com,Voyages et infos locales,10,4.2,5,yescarcontact@gmail.com
Air France - Billets d'avion,AIRFRANCE S.A.,http://www.airfrance.fr,Voyages et infos locales,1000000,3.4795852,15588,mail.app.support@airfrance.fr
rue Vue Carte 2019: Voix Carte Et Route Planifica,Live Street View Map and Voice Navigation,,Voyages et infos locales,1000000,4.425532,2947,jbappsstudio716@gmail.com
Carte satellite en direct Street View-Earth,Global Apps Inc - Live Satellite View Earth Map,,Voyages et infos locales,1000,4.8490567,53,ainsoft771@gmail.com
